S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,File Name,Constituency,State
4,DR. DALJIT SINGH CHEEMA,Shiromani Akali Dal,85194,306,85500,7.93,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
5,GURINDER SINGH BAJWA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),25425,340,25765,2.39,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
6,SANT SEWAK,Independent,5950,2,5952,0.55,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
7,RAJ KUMAR,Bahujan Samaj Party,4859,71,4930,0.46,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
8,SANTOSH KAUR,Independent,4733,5,4738,0.44,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
9,SAMUEL SONI,Independent,4427,13,4440,0.41,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
10,SURJIT SINGH,Independent,3372,1,3373,0.31,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
11,SANJEEV SINGH,Independent,2172,6,2178,0.2,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
12,SURINDER SINGH,Independent,1775,7,1782,0.17,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
13,GURPREET KAUR BAJWA,Independent,1688,21,1709,0.16,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
14,SANJEEV MANHAS,Independent,1634,1,1635,0.15,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
15,ROBI MASIH,Independent,1509,2,1511,0.14,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
16,SANTOSH KUMARI,Megh Desham Party,1171,23,1194,0.11,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
17,RAMESH KUMAR TOLLA,Bharatheeya Jawan Kisan Party,1085,13,1098,0.1,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
18,AMIT AGGARWAL,Independent,920,4,924,0.09,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
19,TARSEM MASIH SAHOTA,Independent,878,7,885,0.08,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
20,TILAK RAJ,Independent,802,3,805,0.07,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
21,RANJODH SINGH,Jan Sewa Driver Party,776,13,789,0.07,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
22,I.S.GULATI,Independent,696,3,699,0.06,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
23,RAMESH LAL,National Republic Party Of India,653,4,657,0.06,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
24,JAGDISH MASIH,Independent,545,1,546,0.05,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
25,JATINDER KUMAR SHARMA,Bhartiya Rashtriya Dal,456,5,461,0.04,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
26,DARBARA SINGH,Nationalist Justice Party,415,9,424,0.04,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
27,NOTA,None of the Above,3289,65,3354,0.31,1 - Gurdaspur (Punjab),1 - Gurdaspur,Punjab
1,ANGOMCHA BIMOL AKOIJAM,Indian National Congress,370678,3339,374017,46.93,1 - Inner Manipur (Manipur),1 - Inner Manipur,Manipur
2,THOUNAOJAM BASANTA KUMAR SINGH,Bharatiya Janata Party,262217,1999,264216,33.16,1 - Inner Manipur (Manipur),1 - Inner Manipur,Manipur
3,MAHESHWAR THOUNAOJAM,Republican Party of India (Athawale),134308,1332,135640,17.02,1 - Inner Manipur (Manipur),1 - Inner Manipur,Manipur
4,RAJKUMAR SOMENDRO SINGH,Independent,12892,158,13050,1.64,1 - Inner Manipur (Manipur),1 - Inner Manipur,Manipur
5,MOIRANGTHEM TOTOMSHANA NONGSHABA,Independent,4831,50,4881,0.61,1 - Inner Manipur (Manipur),1 - Inner Manipur,Manipur
6,HAORUNGBAM SARAT SINGH,Independent,1279,17,1296,0.16,1 - Inner Manipur (Manipur),1 - Inner Manipur,Manipur
7,NOTA,None of the Above,3707,90,3797,0.48,1 - Inner Manipur (Manipur),1 - Inner Manipur,Manipur
1,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,656979,2595,659574,60.23,1 - Kachchh (Gujarat),1 - Kachchh,Gujarat
2,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,389384,1408,390792,35.68,1 - Kachchh (Gujarat),1 - Kachchh,Gujarat
3,VIJAY BHACHRA,Bahujan Samaj Party,6075,36,6111,0.56,1 - Kachchh (Gujarat),1 - Kachchh,Gujarat
4,VANAZARA HIRABEN DALPATBHAI,Independent,5145,6,5151,0.47,1 - Kachchh (Gujarat),1 - Kachchh,Gujarat
5,BABULAL LADHA CHAVDA,Independent,3348,6,3354,0.31,1 - Kachchh (Gujarat),1 - Kachchh,Gujarat
6,KAVITABEN DINESHBHAI MACHCHHOYA,Independent,3342,24,3366,0.31,1 - Kachchh (Gujarat),1 - Kachchh,Gujarat
7,DEVABHAI MITHABHAI GOHIL,Rashtriya Power Party,2087,14,2101,0.19,1 - Kachchh (Gujarat),1 - Kachchh,Gujarat
8,SHAMLIA VIRJI CHAKU,Hindvi Swarajyay Dal,1560,13,1573,0.14,1 - Kachchh (Gujarat),1 - Kachchh,Gujarat
9,ARVIND ASHOK SANGHELA,Gujarat Sarva Samaj Party,1509,17,1526,0.14,1 - Kachchh (Gujarat),1 - Kachchh,Gujarat
10,BOCHIYA BHIMJI BHIKHA,Sarva Samaj Janata Party,1491,6,1497,0.14,1 - Kachchh (Gujarat),1 - Kachchh,Gujarat
11,RAMJIBHAI JAKHUBHAI DAFDA,Right to Recall Party,1357,13,1370,0.13,1 - Kachchh (Gujarat),1 - Kachchh,Gujarat
12,NOTA,None of the Above,18604,138,18742,1.71,1 - Kachchh (Gujarat),1 - Kachchh,Gujarat
1,DR RAJEEV BHARDWAJ,Bharatiya Janata Party,622482,10311,632793,61.03,1 - KANGRA (Himachal Pradesh),1 - KANGRA,Himachal Pradesh
2,ANAND SHARMA,Indian National Congress,374346,6552,380898,36.74,1 - KANGRA (Himachal Pradesh),1 - KANGRA,Himachal Pradesh
3,REKHA CHAUDHARY,Bahujan Samaj Party,7478,275,7753,0.75,1 - KANGRA (Himachal Pradesh),1 - KANGRA,Himachal Pradesh
4,ADVOCATE SANJAY SHARMA,Independent,2304,15,2319,0.22,1 - KANGRA (Himachal Pradesh),1 - KANGRA,Himachal Pradesh
5,DR KEHAR SINGH,Independent,2129,49,2178,0.21,1 - KANGRA (Himachal Pradesh),1 - KANGRA,Himachal Pradesh
6,JEEVAN KUMAR,Akhil Bhartiya Parivar Party,1441,35,1476,0.14,1 - KANGRA (Himachal Pradesh),1 - KANGRA,Himachal Pradesh
7,NARAIN SINGH DOGRA,Himachal Janta Party,1125,46,1171,0.11,1 - KANGRA (Himachal Pradesh),1 - KANGRA,Himachal Pradesh
8,BHUVNESH KUMAR,Rashtriya Devbhumi Party,701,55,756,0.07,1 - KANGRA (Himachal Pradesh),1 - KANGRA,Himachal Pradesh
9,DEV RAJ BHARDWAJ,Rashtriya Samaj Dal (R),588,19,607,0.06,1 - KANGRA (Himachal Pradesh),1 - KANGRA,Himachal Pradesh
10,ACHAL SINGH,Independent,491,54,545,0.05,1 - KANGRA (Himachal Pradesh),1 - KANGRA,Himachal Pradesh
11,NOTA,None of the Above,6260,112,6372,0.61,1 - KANGRA (Himachal Pradesh),1 - KANGRA,Himachal Pradesh
1,RAJMOHAN UNNITHAN,Indian National Congress,487637,3022,490659,44.1,1 - Kasaragod (Kerala),1 - Kasaragod,Kerala
2,M.V BALAKRISHNAN MASTER,Communist Party of India (Marxist),385969,4041,390010,35.06,1 - Kasaragod (Kerala),1 - Kasaragod,Kerala
3,M.L ASHWINI,Bharatiya Janata Party,217996,1562,219558,19.73,1 - Kasaragod (Kerala),1 - Kasaragod,Kerala
4,SUKUMARI M,Bahujan Samaj Party,1599,13,1612,0.14,1 - Kasaragod (Kerala),1 - Kasaragod,Kerala
5,RAJESWARI K.R,Independent,886,11,897,0.08,1 - Kasaragod (Kerala),1 - Kasaragod,Kerala
6,MANOHARAN K,Independent,777,27,804,0.07,1 - Kasaragod (Kerala),1 - Kasaragod,Kerala
7,ANEESH PAYYANNUR,Independent,744,15,759,0.07,1 - Kasaragod (Kerala),1 - Kasaragod,Kerala
8,BALAKRISHNAN N,Independent,594,34,628,0.06,1 - Kasaragod (Kerala),1 - Kasaragod,Kerala
9,N KESHAVA NAYAK,Independent,480,27,507,0.05,1 - Kasaragod (Kerala),1 - Kasaragod,Kerala
10,NOTA,None of the Above,7037,75,7112,0.64,1 - Kasaragod (Kerala),1 - Kasaragod,Kerala
1,JOYANTA BASUMATARY,"United People’s Party, Liberal",484681,4314,488995,39.39,1 - Kokrajhar  (Assam),1 - Kokrajhar,Assam
2,KAMPA BORGOYARI,Bodoland Peoples Front,432768,4644,437412,35.23,1 - Kokrajhar  (Assam),1 - Kokrajhar,Assam
3,GARJAN MASHAHARY,Indian National Congress,112624,1112,113736,9.16,1 - Kokrajhar  (Assam),1 - Kokrajhar,Assam
4,BINITA DEKA,Gana Suraksha Party,93266,923,94189,7.59,1 - Kokrajhar  (Assam),1 - Kokrajhar,Assam
5,PRITHVIRAJ NARAYAN DEV MECH,Independent,33636,101,33737,2.72,1 - Kokrajhar  (Assam),1 - Kokrajhar,Assam
6,GAURI SANKAR SARANIA,All India Trinamool Congress,23362,157,23519,1.89,1 - Kokrajhar  (Assam),1 - Kokrajhar,Assam
7,RANJAY KR BRAHMA,Independent,8782,48,8830,0.71,1 - Kokrajhar  (Assam),1 - Kokrajhar,Assam
8,LALIT PEGU,Voters Party International,7891,41,7932,0.64,1 - Kokrajhar  (Assam),1 - Kokrajhar,Assam
9,JYOTISH KUMAR DAS,Independent,5944,162,6106,0.49,1 - Kokrajhar  (Assam),1 - Kokrajhar,Assam
10,PANKAJ ISLARY,Independent,4473,35,4508,0.36,1 - Kokrajhar  (Assam),1 - Kokrajhar,Assam
11,TRIPTINA RABHA,Independent,4425,115,4540,0.37,1 - Kokrajhar  (Assam),1 - Kokrajhar,Assam
12,AJOY NARZARY,Independent,4032,48,4080,0.33,1 - Kokrajhar  (Assam),1 - Kokrajhar,Assam
13,NOTA,None of the Above,13662,250,13912,1.12,1 - Kokrajhar  (Assam),1 - Kokrajhar,Assam
1,MOHMAD HANEEFA,Independent,64443,816,65259,48.15,1 - Ladakh (Ladakh),1 - Ladakh,Ladakh
2,TSERING NAMGYAL,Indian National Congress,35770,1627,37397,27.59,1 - Ladakh (Ladakh),1 - Ladakh,Ladakh
3,TASHI GYALSON,Bharatiya Janata Party,31505,451,31956,23.58,1 - Ladakh (Ladakh),1 - Ladakh,Ladakh
4,NOTA,None of the Above,896,16,912,0.67,1 - Ladakh (Ladakh),1 - Ladakh,Ladakh
1,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,25405,321,25726,52.29,1 - Lakshadweep (Lakshadweep),1 - Lakshadweep,Lakshadweep
2,MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar,22837,242,23079,46.91,1 - Lakshadweep (Lakshadweep),1 - Lakshadweep,Lakshadweep
3,YOUSUF TP,Nationalist Congress Party,198,3,201,0.41,1 - Lakshadweep (Lakshadweep),1 - Lakshadweep,Lakshadweep
4,KOYA,Independent,58,3,61,0.12,1 - Lakshadweep (Lakshadweep),1 - Lakshadweep,Lakshadweep
5,NOTA,None of the Above,132,1,133,0.27,1 - Lakshadweep (Lakshadweep),1 - Lakshadweep,Lakshadweep
1,RICHARD VANLALHMANGAIHA,Zoram People’s Movement,206377,2175,208552,42.45,1 - MIZORAM (Mizoram),1 - MIZORAM,Mizoram
2,K VANLALVENA,Mizo National Front,139532,732,140264,28.55,1 - MIZORAM (Mizoram),1 - MIZORAM,Mizoram
3,LALBIAKZAMA,Indian National Congress,97761,834,98595,20.07,1 - MIZORAM (Mizoram),1 - MIZORAM,Mizoram
4,VANLALHMUAKA,Bharatiya Janata Party,33009,524,33533,6.82,1 - MIZORAM (Mizoram),1 - MIZORAM,Mizoram
5,LALHRIATRENGA CHHANGTE,Independent,4663,43,4706,0.96,1 - MIZORAM (Mizoram),1 - MIZORAM,Mizoram
6,RITA MALSAWMI,Mizoram People's Conference,3681,112,3793,0.77,1 - MIZORAM (Mizoram),1 - MIZORAM,Mizoram
7,NOTA,None of the Above,1866,27,1893,0.39,1 - MIZORAM (Mizoram),1 - MIZORAM,Mizoram
1,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,513136,2341,515477,43.41,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
2,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,461808,1139,462947,38.99,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
3,RAMESH GARG,Bahujan Samaj Party,179492,177,179669,15.13,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
4,NEERAJ CHANDSORIYA,Aazad Samaj Party (Kanshi Ram),7534,10,7544,0.64,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
5,RAJENDRA PRASAD KUSHWAH,Independent,2392,10,2402,0.2,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
6,ER. SURAJ KUSHWAH,Independent,2279,6,2285,0.19,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
7,RAMNIWASH,Independent,1970,3,1973,0.17,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
8,RAM SUNDER SHARMA,Independent,1762,5,1767,0.15,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
9,RAMSEVAK SAKHWAR,Independent,1630,2,1632,0.14,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
10,HARIKANTH,Independent,1623,-,1623,0.14,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
11,RAJKUMARI,Independent,1435,6,1441,0.12,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
12,ANOOP NAGAR,Independent,1308,9,1317,0.11,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
13,RAJENDRA SINGH GURJER,Independent,1199,11,1210,0.1,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
14,PIYUSH BRAJESH RAJORIYA,Independent,572,3,575,0.05,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
15,PRABHU JATAV,Independent,547,8,555,0.05,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
16,NOTA,None of the Above,4899,15,4914,0.41,1 - MORENA (Madhya Pradesh),1 - MORENA,Madhya Pradesh
1,S SUPONGMEREN JAMIR,Indian National Congress,399512,2439,401951,52.83,1 - Nagaland (Nagaland),1 - Nagaland,Nagaland
2,DR CHUMBEN MURRY,Nationalist Democratic Progressive Party,350072,895,350967,46.13,1 - Nagaland (Nagaland),1 - Nagaland,Nagaland
3,HAYITHUNG TUNGOE LOTHA,Independent,6050,182,6232,0.8200000000000001,1 - Nagaland (Nagaland),1 - Nagaland,Nagaland
4,NOTA,None of the Above,1520,126,1646,0.22,1 - Nagaland (Nagaland),1 - Nagaland,Nagaland
1,ADV GOWAAL KAGADA PADAVI,Indian National Congress,744879,1119,745998,53.53,1 - Nandurbar (Maharashtra),1 - Nandurbar,Maharashtra
2,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,585847,1031,586878,42.11,1 - Nandurbar (Maharashtra),1 - Nandurbar,Maharashtra
3,ANANDA SUKALAL KOLI,Bahujan Samaj Party,10628,16,10644,0.76,1 - Nandurbar (Maharashtra),1 - Nandurbar,Maharashtra
4,SUSHILKUMAR JAHANGIR PAWARA,Independent,8878,9,8887,0.64,1 - Nandurbar (Maharashtra),1 - Nandurbar,Maharashtra
5,NIRMALA VASAVE,Peoples Party of India (Democratic),6923,24,6947,0.5,1 - Nandurbar (Maharashtra),1 - Nandurbar,Maharashtra
6,ROHIDAS GEMAJI VALVI,Independent,4941,6,4947,0.35,1 - Nandurbar (Maharashtra),1 - Nandurbar,Maharashtra
7,HEMANT MANSARAM KOLI,Vanchit Bahujan Aaghadi,4062,19,4081,0.29,1 - Nandurbar (Maharashtra),1 - Nandurbar,Maharashtra
8,DEEPAKKUMAR MADHUKAR SHIRSATH,Independent,3567,4,3571,0.26,1 - Nandurbar (Maharashtra),1 - Nandurbar,Maharashtra
9,RAVINDRA RANJIT VALVI,Bharat Adivasi Party,2608,17,2625,0.19,1 - Nandurbar (Maharashtra),1 - Nandurbar,Maharashtra
10,JALAMSING SUTUM PAWAR,Independent,2583,4,2587,0.19,1 - Nandurbar (Maharashtra),1 - Nandurbar,Maharashtra
11,GITANJALI SHASHIKANT KOLI,Independent,2372,9,2381,0.17,1 - Nandurbar (Maharashtra),1 - Nandurbar,Maharashtra
12,NOTA,None of the Above,14108,15,14123,1.01,1 - Nandurbar (Maharashtra),1 - Nandurbar,Maharashtra
1,SHRIPAD YESSO NAIK,Bharatiya Janata Party,253812,3514,257326,56.43,1 - North Goa (Goa),1 - North Goa,Goa
2,RAMAKANT KHALAP,Indian National Congress,140191,1120,141311,30.99,1 - North Goa (Goa),1 - North Goa,Goa
3,TUKARAM BHARAT PARAB,Revolutionary Goans Party,45460,233,45693,10.02,1 - North Goa (Goa),1 - North Goa,Goa
4,MILAN R VAINGANKAR,Bahujan Samaj Party,1600,25,1625,0.36,1 - North Goa (Goa),1 - North Goa,Goa
5,MR SAKHARAM NAIK,Akhil Bhartiya Parivar Party,1404,13,1417,0.31,1 - North Goa (Goa),1 - North Goa,Goa
6,SHAKEEL JAMAL SHAIKH,Independent,800,7,807,0.18,1 - North Goa (Goa),1 - North Goa,Goa
7,THOMAS AUGUSTINE FERNANDES,Independent,746,13,759,0.17,1 - North Goa (Goa),1 - North Goa,Goa
8,ADV VISHAL NAIK,Independent,744,8,752,0.16,1 - North Goa (Goa),1 - North Goa,Goa
9,NOTA,None of the Above,6297,31,6328,1.39,1 - North Goa (Goa),1 - North Goa,Goa
1,VE VAITHILINGAM,Indian National Congress,424292,1713,426005,52.73,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
2,A NAMASSIVAYAM,Bharatiya Janata Party,288050,1439,289489,35.83,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
3,R MENAGA,Naam Tamilar Katchi,39545,58,39603,4.9,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
4,G THAMIZHVENDAN,All India Anna Dravida Munnetra Kazhagam,25059,106,25165,3.11,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
5,P SANKARAN,Socialist Unity Centre Of India (COMMUNIST),2057,9,2066,0.26,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
6,ARADADI POSIYYA,Independent,1540,6,1546,0.19,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
7,D ALANGARAVELU,Bahujan Samaj Party,1534,6,1540,0.19,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
8,K KISHORKUMAR,Independent,1240,6,1246,0.15,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
9,KOLLANJIAPPAN,Independent,1198,1,1199,0.15,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
10,M MANIKANDAN,Independent,1130,3,1133,0.14,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
11,M KRISHNAMURTHY,Independent,1052,19,1071,0.13,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
12,K PRABHU DEVAN,United Republican Party of India,981,8,989,0.12,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
13,S BAKTHAVATCHALAM,Independent,923,1,924,0.11,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
14,S SATHISH KUMAR,Independent,842,4,846,0.1,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
15,COUTTANE ALIAS DHIVANEEDHE,Independent,819,3,822,0.1,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
16,E ANANTHAVEL,Independent,771,5,776,0.1,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
17,S KALA,Independent,593,33,626,0.08,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
18,P RAJAN,Independent,545,2,547,0.07,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
19,NIRMALA G,Independent,474,1,475,0.06,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
20,K ARUNACHALAM,Independent,403,2,405,0.05,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
21,K RAMADASS,Independent,368,4,372,0.05,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
22,R RAJA,Independent,326,5,331,0.04,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
23,D RAVINDIRAN,Independent,305,2,307,0.04,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
24,S MASCO,Independent,248,6,254,0.03,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
25,V P MANICKAM,Independent,242,2,244,0.03,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
26,M MURUGAN,Independent,196,-,196,0.02,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
27,NOTA,None of the Above,9756,7,9763,1.21,1 - PUDUCHERRY (Puducherry),1 - PUDUCHERRY,Puducherry
1,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,607293,6078,613371,50.35,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
2,TALA MARANDI,Bharatiya Janata Party,430544,4563,435107,35.72,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
3,LOBIN HEMBRAM,Independent,41592,548,42140,3.46,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
4,GOPIN SOREN,Communist Party of India (Marxist),37191,100,37291,3.06,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
5,MAHESH PAHARIYA,Independent,14950,28,14978,1.23,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
6,AJIT MARANDI,Rashtriya Jansambhavna Party,11243,8,11251,0.92,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
7,SEBASTION HEMBROM,Independent,9492,1,9493,0.78,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
8,MARIYAM MARANDI,Bahujan Samaj Party,8225,34,8259,0.68,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
9,PAUL SOREN,All India Majlis-E-Ittehadul Muslimeen,7854,48,7902,0.65,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
10,DIPA TUDU,Independent,6847,9,6856,0.56,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
11,KHALIFA KISKU,Peoples Party of India (Democratic),4092,15,4107,0.34,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
12,VINOD KUMAR MANDAL,Lokhit Adhikar Party,3774,35,3809,0.31,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
13,MUNSHI KISKU,Navyug Pragatisheel Morcha,2777,2,2779,0.23,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
14,LILI HANSDA,Samata Party,2682,7,2689,0.22,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
15,NOTA,None of the Above,18119,98,18217,1.5,1 - Rajmahal (Jharkhand),1 - Rajmahal,Jharkhand
1,IMRAN MASOOD,Indian National Congress,547383,584,547967,44.57,1 - Saharanpur (Uttar Pradesh),1 - Saharanpur,Uttar Pradesh
2,RAGHAV LAKHANPAL,Bharatiya Janata Party,482120,1305,483425,39.32,1 - Saharanpur (Uttar Pradesh),1 - Saharanpur,Uttar Pradesh
3,MAJID ALI,Bahujan Samaj Party,179994,359,180353,14.67,1 - Saharanpur (Uttar Pradesh),1 - Saharanpur,Uttar Pradesh
4,MOHD INAM,Akhil Bhartiya Parivar Party,5392,8,5400,0.44,1 - Saharanpur (Uttar Pradesh),1 - Saharanpur,Uttar Pradesh
5,SHABNAM,Independent,2370,3,2373,0.19,1 - Saharanpur (Uttar Pradesh),1 - Saharanpur,Uttar Pradesh
6,SHAHBAJ,Independent,1696,2,1698,0.14,1 - Saharanpur (Uttar Pradesh),1 - Saharanpur,Uttar Pradesh
7,RASHID KHAN,Independent,1227,3,1230,0.1,1 - Saharanpur (Uttar Pradesh),1 - Saharanpur,Uttar Pradesh
8,TASMEEM BANO,Independent,883,2,885,0.07,1 - Saharanpur (Uttar Pradesh),1 - Saharanpur,Uttar Pradesh
9,RAJKUMAR,Independent,807,6,813,0.07,1 - Saharanpur (Uttar Pradesh),1 - Saharanpur,Uttar Pradesh
10,KAMRAN,Independent,744,1,745,0.06,1 - Saharanpur (Uttar Pradesh),1 - Saharanpur,Uttar Pradesh
11,NOTA,None of the Above,4559,7,4566,0.37,1 - Saharanpur (Uttar Pradesh),1 - Saharanpur,Uttar Pradesh
1,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,569156,1922,571078,55.02,1 - Shillong (Meghalaya),1 - Shillong,Meghalaya
2,VINCENT H. PALA,Indian National Congress,198045,1123,199168,19.19,1 - Shillong (Meghalaya),1 - Shillong,Meghalaya
3,DR. MAZEL AMPAREEN LYNGDOH,National People's Party,185531,957,186488,17.97,1 - Shillong (Meghalaya),1 - Shillong,Meghalaya
4,ROBERTJUNE KHARJAHRIN,United Democratic Party,44278,285,44563,4.29,1 - Shillong (Meghalaya),1 - Shillong,Meghalaya
5,PROF. LAKHON KMA,Independent,18522,60,18582,1.79,1 - Shillong (Meghalaya),1 - Shillong,Meghalaya
6,PETER SHALLAM,Independent,6975,49,7024,0.68,1 - Shillong (Meghalaya),1 - Shillong,Meghalaya
7,NOTA,None of the Above,10944,64,11008,1.06,1 - Shillong (Meghalaya),1 - Shillong,Meghalaya
1,INDRA HANG SUBBA,Sikkim Krantikari Morcha,156836,7560,164396,42.71,1 - Sikkim (Sikkim),1 - Sikkim,Sikkim
2,BHARAT BASNETT,Citizen Action Party-Sikkim,78666,4900,83566,21.71,1 - Sikkim (Sikkim),1 - Sikkim,Sikkim
3,PREM DAS RAI,Sikkim Democratic Front,75464,1707,77171,20.05,1 - Sikkim (Sikkim),1 - Sikkim,Sikkim
4,LATEN TSHERING SHERPA,Independent,20197,1066,21263,5.52,1 - Sikkim (Sikkim),1 - Sikkim,Sikkim
5,DINESH CHANDRA NEPAL,Bharatiya Janata Party,18788,247,19035,4.95,1 - Sikkim (Sikkim),1 - Sikkim,Sikkim
6,SAMBHU CHETTRI,Independent,4682,8,4690,1.22,1 - Sikkim (Sikkim),1 - Sikkim,Sikkim
7,KHARGA BHADUR RAI,Sikkim Republican Party,4591,208,4799,1.25,1 - Sikkim (Sikkim),1 - Sikkim,Sikkim
8,GOPAL CHETTRI,Indian National Congress,2190,51,2241,0.58,1 - Sikkim (Sikkim),1 - Sikkim,Sikkim
9,NAWIN KIRAN PRADHAN,Independent,1121,45,1166,0.3,1 - Sikkim (Sikkim),1 - Sikkim,Sikkim
10,RAVI CHANDRA RAI,Independent,1077,46,1123,0.29,1 - Sikkim (Sikkim),1 - Sikkim,Sikkim
