S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,File Name,Constituency,State
11,MAHESH ASHOK KASAR,Independent,1002,7,1009,0.07,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
12,MOHAN GURAPPA MOTANNAVAR,Independent,938,8,946,0.07,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
13,KUMAR SAMBHAJI DONGARE,Karnataka Rashtra Samithi,930,11,941,0.07,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
14,PAVANKUMAR BABURAV MALAGE,Bahujan Bharat Party,655,11,666,0.05,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
15,DR|| KADAYYA HIREMATH (SWAMIJI),Independent,642,5,647,0.05,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
16,BHIMASEN DATTU SANADI,Independent,614,5,619,0.04,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
17,GAJANAN L. PUJARI,Independent,591,9,600,0.04,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
18,JITENDRA SUBHASH NERLE,Independent,452,5,457,0.03,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
19,NOTA,None of the Above,2571,37,2608,0.19,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
1,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,785747,2628,788375,48.57,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
2,NISITH PRAMANIK,Bharatiya Janata Party,745144,3981,749125,46.16,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
3,NITISH CHANDRA ROY,All India Forward Bloc,29992,275,30267,1.86,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
4,PIYA ROY CHOWDHURY,Indian National Congress,10539,140,10679,0.66,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
5,HAREKRISHNA SARKAR,Independent,9462,5,9467,0.58,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
6,KAMALESH BARMAN,Independent,2972,21,2993,0.18,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
7,NABI BARMAN,Independent,2710,14,2724,0.17,1 - Coochbehar (West Bengal),1 - Coochbehar,West Bengal
